model,epsilon,clipping,classification_auc,recall,worst_group_sensitivity,fnr_gap,dp_diff,membership_attack_auc,membership_attack_advantage,attack_feature_used
DP-SGD MLP ε=0.5 [fixed],0.5,fixed,0.7996706811763881,0.8767950763619786,0.8691633088409576,0.0147005769987789,0.0598344529964982,0.5028,0.0028,neg_loss
DP-SGD MLP ε=0.5 [adaptive],0.5,adaptive,0.8007731279029632,0.8796444039206747,0.8741407916567907,0.0106012500556132,0.0620935148349919,0.5028,0.0028,neg_loss
DP-SGD MLP ε=1.0 [fixed],1.0,fixed,0.8003214184553588,0.8757693184408479,0.8708224697795686,0.0095287925694983,0.0614326597621202,,,
DP-SGD MLP ε=1.0 [adaptive],1.0,adaptive,0.800374379184325,0.8627763847731935,0.861815596112823,0.0018507046555634,0.0676262623687738,,,
DP-SGD MLP ε=3.0 [fixed],3.0,fixed,0.803654337206011,0.8804422156371097,0.8748518606304811,0.0107683369545902,0.0616982541943867,,,
DP-SGD MLP ε=3.0 [adaptive],3.0,adaptive,0.8027995096213164,0.8876225210850239,0.8826736193410761,0.0095327472890007,0.0606199979148781,,,
DP-SGD MLP ε=5.0 [fixed],5.0,fixed,0.8030707313625481,0.8930932299977206,0.8897843090779806,0.0063737589790995,0.0616280272596806,,,
DP-SGD MLP ε=5.0 [adaptive],5.0,adaptive,0.8010046590008977,0.8630043309778892,0.8575491822706802,0.0105078978610431,0.0679564941017724,,,
DP-SGD MLP ε=10.0 [fixed],10.0,fixed,0.8026939481771962,0.8844312742192842,0.8795923204550842,0.0093209616524899,0.0620058687831762,0.5029176,0.0029175999999999,neg_loss
DP-SGD MLP ε=10.0 [adaptive],10.0,adaptive,0.8023826910237393,0.8788465922042398,0.8750888836217113,0.0072382294408572,0.0643515976562993,0.5029176,0.0029175999999999,neg_loss
MLP non-private,inf,none,0.804469583206967,0.8880784134944153,0.8819625503673857,0.0117805890398591,0.0561329072354985,0.60609226,0.10609226,neg_loss
